,agreement,business,chicago,city,consultant,contract,contractor,date,department,may,mbe,must,name,order,required,section,services,shall,wbe,work,Contract Type
0,271,20,69,321,1,32,10,43,30,65,4,174,37,8,30,47,63,5,4,40,Delegate Agency
1,126,3,44,181,0,17,209,9,69,44,1,57,26,11,8,14,33,2,0,27,Delegate Agency
2,22,2,16,35,0,19,0,14,13,8,0,6,20,1,1,1,22,2,0,0,Delegate Agency
3,150,4,37,177,0,24,222,14,70,44,2,73,26,14,8,11,25,3,0,20,Delegate Agency
4,285,47,71,406,2,56,10,47,55,84,3,173,52,12,38,81,134,17,3,32,Delegate Agency
5,155,11,35,208,1,34,8,31,64,59,2,106,45,11,12,28,20,5,1,34,Delegate Agency
6,12,0,35,24,0,8,0,7,8,4,0,12,15,0,4,1,18,0,0,30,Delegate Agency
7,144,7,38,213,0,27,42,16,71,40,1,83,77,10,63,17,64,3,0,32,Delegate Agency
8,12,0,2,13,0,2,8,4,4,1,0,2,1,1,0,1,6,1,0,0,Delegate Agency
9,24,15,8,35,0,21,2,17,16,8,0,12,17,0,1,1,14,1,0,5,Delegate Agency
10,276,27,70,350,1,39,13,41,30,68,4,175,52,9,33,55,116,8,3,37,Delegate Agency
11,28,1,19,36,0,12,0,13,20,9,0,37,28,1,8,1,23,2,0,1,Delegate Agency
12,385,54,67,426,2,38,446,51,35,102,1,249,34,32,51,78,182,6,1,24,Delegate Agency
13,162,10,47,248,1,31,7,26,65,63,2,108,38,10,6,35,22,5,1,27,Delegate Agency
14,26,1,9,21,0,5,0,12,15,11,0,5,5,0,1,1,18,0,0,2,Delegate Agency
15,12,1,12,20,0,10,3,8,9,4,0,23,8,1,6,1,28,2,0,28,Delegate Agency
16,23,16,32,34,0,10,1,12,13,6,0,7,10,1,1,4,34,4,0,6,Delegate Agency
17,9,0,10,19,0,12,0,11,5,6,0,5,17,0,2,1,19,0,0,2,Delegate Agency
18,25,2,16,35,0,14,2,17,13,7,0,9,13,0,1,1,14,1,0,11,Delegate Agency
19,24,0,9,28,0,5,0,10,16,10,0,4,6,0,1,1,14,1,0,2,Delegate Agency
20,22,1,16,21,0,7,0,9,8,9,0,5,3,0,3,1,10,1,0,1,Delegate Agency
21,145,3,49,174,0,26,223,17,71,56,2,72,19,11,14,13,52,2,0,36,Delegate Agency
22,277,31,57,356,1,35,9,45,33,65,4,174,41,8,34,56,91,9,4,40,Delegate Agency
23,254,19,36,273,0,18,289,26,34,52,4,146,19,9,29,39,107,2,3,35,Delegate Agency
24,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Delegate Agency
25,6,1,4,7,0,1,1,4,4,0,0,1,4,0,0,1,3,0,0,3,Delegate Agency
26,2,0,4,8,0,19,4,6,36,1,0,3,23,9,0,0,15,0,0,0,Delegate Agency
